Subtype,Rank,Gene,Mean_SHAP,Mean_abs_SHAP,Direction
Basal,1,BCL2,-0.0345,0.0645,Down
Basal,2,BAG1,0.0427,0.054,Up
Basal,3,BIRC5,-0.0231,0.05,Down
Basal,4,ACTR3B,-0.0387,0.0387,Down
Basal,5,ANLN,-0.0331,0.0337,Down
HER2,1,BCL2,-0.033,0.0596,Down
HER2,2,BAG1,-0.0561,0.0587,Down
HER2,3,ANLN,0.0575,0.0575,Up
HER2,4,BIRC5,-0.0323,0.048,Down
HER2,5,ACTR3B,-0.0387,0.0387,Down
LumA,1,BCL2,-0.0345,0.0644,Down
LumA,2,BAG1,0.0554,0.0579,Up
LumA,3,BIRC5,-0.022,0.0505,Down
LumA,4,ACTR3B,-0.0387,0.0387,Down
LumA,5,ANLN,-0.0331,0.0335,Down
LumB,1,BAG1,-0.0555,0.0691,Down
LumB,2,BIRC5,0.0454,0.0559,Up
LumB,3,BCL2,-0.043,0.0546,Down
LumB,4,ACTR3B,-0.0342,0.0391,Down
LumB,5,ANLN,-0.0308,0.0327,Down
Normal,1,BCL2,-0.0298,0.0637,Down
Normal,2,BAG1,0.047,0.0626,Up
Normal,3,BIRC5,-0.0241,0.048,Down
Normal,4,ACTR3B,-0.0387,0.0387,Down
Normal,5,ANLN,-0.0331,0.0337,Down
